
-0.520995;-0.567452;-0.915902;;;
-0.505247;-0.52791;-0.921196;;;
-0.486081;-0.59277;-0.92277;;;
-0.500993;-0.601245;-0.935172;;;
-0.540495;-0.603331;-0.891632;;;
-0.496962;-0.61579;-0.910853;;;
-0.526596;-0.706254;-0.878083;;;
-0.483941;-0.735597;-0.918847;;;
-0.517286;-0.600251;-0.911381;;;
-0.489152;-0.624296;-0.924012;;;
-0.530636;-0.593212;-0.904225;;;
-0.466087;-0.878856;-0.888493;;;
-0.578588;-0.916801;-0.787341;209.0;169.0;102.0
-0.532994;-0.746;-0.864572;223.0;178.0;102.0
-0.525926;-0.626831;-0.897958;;;
-0.529845;-0.542691;-0.917208;;;
-0.533416;-0.63873;-0.885011;;;
-0.523546;-0.577461;-0.909761;;;
-0.531734;-0.775547;-0.862255;217.0;172.0;92.0
-0.519121;-0.559242;-0.919515;;;
-0.514627;-0.620976;-0.906796;;;
-0.544213;-0.644103;-0.883651;;;
-0.517722;-0.539898;-0.926409;;;
-0.527099;-0.525656;-0.921463;;;
-0.526411;-0.517803;-0.92226;;;
-0.497741;-0.662951;-0.912646;;;
-0.50819;-0.756842;-0.900665;;;
-0.551246;-0.762832;-0.844021;210.0;171.0;96.0
-0.521923;-0.691765;-0.89446;;;
-0.488978;-0.635543;-0.907514;;;
-0.490869;-0.668658;-0.925782;;;
-0.476397;-0.75742;-0.898747;;;
-0.496867;-0.836985;-0.86885;;;
-0.485186;-0.703999;-0.920501;;;
-0.462589;-0.830449;-0.883687;;;
-0.504814;-0.550007;-0.918454;;;
-0.503699;-0.541176;-0.938312;;;
-0.513;-0.730914;-0.883833;;;
-0.550912;-0.627526;-0.876895;223.0;187.0;117.0
-0.587367;-0.831733;-0.791746;211.0;167.0;93.0
-0.595283;-0.920307;-0.754192;204.0;164.0;97.0
-0.581963;-0.797962;-0.808434;222.0;187.0;111.0
-0.537684;-0.556549;-0.913709;;;
-0.555518;-0.666087;-0.863536;214.0;173.0;94.0
-0.544297;-0.737735;-0.852616;215.0;171.0;85.0
-0.507677;-0.669982;-0.903353;;;
-0.552384;-0.593165;-0.880891;217.0;173.0;99.0
-0.557736;-0.63376;-0.868056;238.0;199.0;122.0
-0.545455;-0.56867;-0.898559;;;
-0.552438;-0.685658;-0.858596;226.0;187.0;112.0
-0.531219;-0.603422;-0.903834;;;
-0.548293;-0.611374;-0.880278;214.0;167.0;82.0
-0.554331;-0.523863;-0.899735;;;
-0.556841;-0.473258;-0.966194;;;
-0.594879;-1.08948;-0.691401;133.0;82.0;47.0
-0.560398;-1.12242;-0.729708;75.0;68.0;79.0
-0.558207;-0.558281;-0.888043;;;
-0.561719;-0.601103;-0.871218;216.0;169.0;87.0
-0.561678;-0.617417;-0.87047;213.0;172.0;91.0
-0.589075;-0.803847;-0.789404;207.0;168.0;89.0
-0.548921;-0.533654;-0.902713;;;
-0.572227;-0.682443;-0.867182;216.0;172.0;96.0
-0.532892;-0.529644;-0.917446;;;
-0.570738;-0.625173;-0.861528;215.0;170.0;90.0
-0.51361;-1.12022;-0.767758;97.0;87.0;61.0
-0.635713;-0.988221;-0.697304;207.0;169.0;103.0
-0.597219;-0.698422;-0.824354;214.0;177.0;95.0
-0.636519;-0.881178;-0.775737;202.0;164.0;98.0
-0.570797;-0.574953;-0.871898;214.0;171.0;90.0
-0.566782;-0.598429;-0.866468;218.0;171.0;86.0
-0.626368;-0.844248;-0.736835;215.0;177.0;107.0
-0.578916;-0.608693;-0.860358;212.0;168.0;82.0
-0.559167;-0.540032;-0.890141;;;
-0.519167;-0.850462;-0.846348;217.0;173.0;97.0
-0.49191;-0.637227;-0.927903;;;
-0.566501;-0.502437;-0.901641;;;
-0.570129;-0.549465;-0.880794;187.0;140.0;62.0
-0.604702;-0.84721;-0.769563;210.0;169.0;94.0
-0.55453;-0.514808;-0.896731;;;
-0.582866;-0.709306;-0.831617;210.0;168.0;96.0
-0.535615;-0.518371;-0.920358;;;
-0.5743;-0.593;-0.863458;202.0;159.0;78.0
-0.584526;-0.678596;-0.83239;211.0;171.0;85.0
-0.639596;-0.837427;-0.765087;211.0;176.0;102.0
-0.651168;-0.997519;-0.682905;209.0;177.0;114.0
-0.595203;-0.617494;-0.843332;207.0;163.0;78.0
-0.599686;-0.666661;-0.826785;214.0;181.0;100.0
-0.593357;-0.658149;-0.836672;209.0;168.0;91.0
-0.574744;-0.540433;-0.877567;196.0;155.0;80.0
-0.565505;-0.519616;-0.883963;181.0;137.0;66.0
-0.568631;-0.524008;-0.88536;194.0;152.0;87.0
-0.546481;-0.593012;-0.888828;;;
